year,energy_TWh,carbon_MtCO2,water_Mm3,scenario,,
2025,58.89280043410670,4.473035827207910,459.7461052270420,Best carbon,,
2025,59.70673953740850,14.746757155409000,65.20009857415040,Best water,,
2025,72.12093807784720,32.712592373412300,338.1861723270400,Worst carbon,,
2025,70.41117916778520,15.387325233480300,1553.3082102074700,Worst water,,
2026,106.2294469967850,4.015068569261420,750.5350795126510,Best carbon,,
2026,107.68829475872300,13.21545945936210,87.92729248869860,Best water,,
2026,133.32092099660400,44.366660969934500,622.5324588595010,Worst carbon,,
2026,130.16030441774600,22.302601590411100,2975.3068653017100,Worst water,,
2027,163.87268834521300,6.525540649173400,1102.5190914690300,Best carbon,,
2027,166.1015281133960,17.872508009743300,129.38533299344500,Best water,,
2027,210.5314138401560,65.52521822351420,952.5283402140860,Worst carbon,,
2027,205.54038113516500,32.81193713558520,4681.7503433172,Worst water,,
2028,217.1953567852610,9.038759701126380,1401.1633776034800,Best carbon,,
2028,220.10626153495200,20.59205610353250,163.94786483331300,Best water,,
2028,285.4534752804460,83.71642413273480,1259.837079895100,Worst carbon,,
2028,278.6862779064720,41.24671575013350,6343.60202779946,Worst water,,
2029,260.90463547567400,10.992006372504700,1575.1548141085700,Best carbon,,
2029,264.3230144608770,22.82048573152840,185.91362288210100,Best water,,
2029,350.77503754251300,97.519596358475,1464.8824347206700,Worst carbon,,
2029,342.4592729136850,50.47189674517540,7407.055234460870,Worst water,,
2030,287.4993213031680,12.291896095822900,1635.9203265635800,Best carbon,,
2030,291.13535691050700,23.227672298694800,193.32583642292500,Best water,,
2030,395.728215300133,104.82741525331200,1590.2938340924900,Worst carbon,,
2030,386.34675327114500,56.32030607229950,8051.530312328490,Worst water,,